"","subject","trial_index","rt","trial_type","stim_type","cue","top_opt","bottom_opt","responses","variable_type"
"136","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",8,457975.22,"survey-multi-choice","filler","hồ dán","cồn","xăng","xăng",NA
"137","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",8,457975.22,"survey-multi-choice","triad","rìu","gốc cây","kéo","gốc cây",NA
"138","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",8,457975.22,"survey-multi-choice","filler","đài phun nước","quãng trường","tượng","quãng trường",NA
"139","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",8,457975.22,"survey-multi-choice","triad","giáo viên","cảnh sát","bàn","bàn",NA
"140","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",8,457975.22,"survey-multi-choice","filler","đá","đất","thuỷ tinh","đất",NA
"141","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",8,457975.22,"survey-multi-choice","filler","nạng","xe lăn","gậy","xe lăn",NA
"142","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",8,457975.22,"survey-multi-choice","triad","con trai","ngọc trai","con sò","con sò",NA
"143","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",8,457975.22,"survey-multi-choice","attention check","Chọn văn phòng","văn phòng","hồ sơ","văn phòng",NA
"144","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",8,457975.22,"survey-multi-choice","triad","máy bay","trời","trực thăng","trời",NA
"145","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",8,457975.22,"survey-multi-choice","filler","tỏi","ngò","gừng","gừng",NA
"146","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",8,457975.22,"survey-multi-choice","filler","ca sĩ","nhà thơ","nhà văn","nhà văn",NA
"147","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",8,457975.22,"survey-multi-choice","triad","bánh mì","lò nướng","cơm","lò nướng",NA
"148","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",8,457975.22,"survey-multi-choice","triad","đàn pi-a-nô","sáo","bài hát","sáo",NA
"149","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",8,457975.22,"survey-multi-choice","filler","thác nước","hang động","vực sâu","hang động",NA
"150","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",9,78776.9250000019,"survey-multi-choice","filler","rau mùi","tiêu","muối","tiêu",NA
"151","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",9,78776.9250000019,"survey-multi-choice","filler","mũi","ngón tay","ngón cái","ngón tay",NA
"152","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",9,78776.9250000019,"survey-multi-choice","filler","điện","nhiệt","ánh nắng","ánh nắng",NA
"153","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",9,78776.9250000019,"survey-multi-choice","filler","chanh","lê","nho","lê",NA
