triad,cue_M,cue_basefreq_M,tax_M,tax_basefreq_M,theme_M,theme_basefreq_M,cue_tax_M,cue_tax_freq_M,cue_theme_M,cue_theme_freq_M,cue_E,cue_basefreq_E,tax_E,tax_basefreq_E,theme_E,theme_basefreq_E,cue_tax_E,cue_tax_freq_E,cue_theme_E,cue_theme_freq_E,cue_V,cue_basefreq_V,tax_V,tax_basefreq_V,theme_V,theme_basefreq_V,cue_tax_V,cue_tax_freq_V,cue_theme_V,cue_theme_freq_V
flower,花朵,10011,灌木,1716,花瓶,3210,花朵 - 灌木,39,花朵 - 花瓶,39,flower,48912,bush,15262,vase,4642,flower - bush,33,flower - vase,95,hoa,,bụi rậm,,lọ,,hoa - bụi rậm,0,hoa - lọ,52
can,罐,6609,瓶,23995,吸管,1330,罐 - 瓶,537,罐 - 吸管,24,can,23201,bottle,46801,straw,11861,can - bottle,175,can - straw,19,lon,,chai,,ống hút,,lon - chai,3,lon - ống hút,0
hammer,錘子,566,鋸子,633,釘子,2005,錘子 - 鋸子,13,錘子 - 釘子,32,hammer,11886,saw,5722,nail,19206,hammer - saw,147,hammer - nail,283,búa,,cưa,,đinh,,búa - cưa,3,búa - đinh,5
hat,帽子,13638,皇冠,2407,頭,201838,帽子 - 皇冠,8,帽子 - 頭,138,hat,43629,crown,16806,head,348664,hat - crown,102,hat - head,1391,mũ,,vương miện,,đầu,,mũ - vương miện,0,mũ - đầu,54
helmet,頭盔,2186,便帽,175,摩托車,6088,頭盔 - 便帽,0,頭盔 - 摩托車,47,helmet,13668,cap,32115,motorcycle ,8463,helmet - cap,48,helmet - motorcycle ,208,mũ bảo hiểm,,nón,,xe máy,,mũ bảo hiểm - nón,0,mũ bảo hiểm - xe máy,0
soccer,足球,8359,網球,3674,球門,441,足球 - 網球,136,足球 - 球門,62,soccer,20295,tennis,16863,goal,138693,soccer - tennis,298,soccer - goal,147,bóng đá,,quần vợt,,khung thành,,bóng đá - quần vợt,3,bóng đá - khung thành,0
horse,馬,57724,驢,5137,鞍,569,馬 - 驢,361,馬 - 鞍,64,horse,68883,donkey,3786,saddle,6022,horse - donkey,97,horse - saddle,444,ngựa,,lừa,,yên ngựa,,ngựa - lừa,0,ngựa - yên ngựa,0
school,學校,172736,教堂,13150,學生,258414,學校 - 教堂,189,學校 - 學生,44510,school,660191,church,191872,student,530196,school - church,2249,school - student,11386,trường,,nhà thờ,,học sinh,,trường - nhà thờ,12,trường - học sinh,2270
snow,雪,17517,冰,13090,山峰,2535,雪 - 冰,401,雪 - 山峰,173,snow,42027,ice,78316,mountain,88984,snow - ice,2221,snow - mountain,662,tuyết,,băng,,núi,,tuyết - băng,25,tuyết - núi,42
kitchen,廚房,23506,臥室,7776,冰箱,7646,廚房 - 臥室,456,廚房 - 冰箱,346,kitchen,75167,bedroom,37979,refrigerator,11247,kitchen - bedroom,780,kitchen - refrigerator,395,nhà bếp,,phòng ngủ,,tủ lạnh,,nhà bếp - phòng ngủ,17,nhà bếp - tủ lạnh,4
